,S1,S2,S3,S4,S5
2004-03-10 18:00:00,1360.0,1360.0,1056.0,1692.0,1268.0
2004-03-10 19:00:00,1292.0,1292.0,1174.0,1559.0,972.0
2004-03-10 20:00:00,1402.0,1402.0,1140.0,1555.0,1074.0
2004-03-10 21:00:00,1376.0,1376.0,1092.0,1584.0,1203.0
2004-03-10 22:00:00,1272.0,1272.0,1205.0,1490.0,1110.0
2004-03-10 23:00:00,1197.0,1197.0,1337.0,1393.0,949.0
2004-03-11 00:00:00,1185.0,1185.0,1462.0,1333.0,733.0
2004-03-11 01:00:00,1136.0,1136.0,1453.0,1333.0,730.0
2004-03-11 02:00:00,1094.0,1094.0,1579.0,1276.0,620.0
2004-03-11 03:00:00,1010.0,1010.0,1705.0,1235.0,501.0
2004-03-11 04:00:00,1011.0,1011.0,1818.0,1197.0,445.0
2004-03-11 05:00:00,1066.0,1066.0,1918.0,1182.0,422.0
2004-03-11 06:00:00,1052.0,1052.0,1738.0,1221.0,472.0
2004-03-11 07:00:00,1144.0,1144.0,1490.0,1339.0,730.0
2004-03-11 08:00:00,1333.0,1333.0,1136.0,1517.0,1102.0
2004-03-11 09:00:00,1351.0,1351.0,1079.0,1583.0,1028.0
2004-03-11 10:00:00,1233.0,1233.0,1218.0,1446.0,860.0
2004-03-11 11:00:00,1179.0,1179.0,1328.0,1362.0,671.0
2004-03-11 12:00:00,1236.0,1236.0,1301.0,1401.0,664.0
2004-03-11 13:00:00,1286.0,1286.0,1162.0,1537.0,799.0
2004-03-11 14:00:00,1371.0,1371.0,983.0,1730.0,1037.0
2004-03-11 15:00:00,1310.0,1310.0,1082.0,1647.0,946.0
2004-03-11 16:00:00,1292.0,1292.0,1103.0,1591.0,957.0
2004-03-11 17:00:00,1383.0,1383.0,1008.0,1719.0,1104.0
2004-03-11 18:00:00,1581.0,1581.0,799.0,2083.0,1409.0
2004-03-11 19:00:00,1776.0,1776.0,702.0,2333.0,1704.0
2004-03-11 20:00:00,1640.0,1640.0,743.0,2191.0,1654.0
2004-03-11 21:00:00,1313.0,1313.0,957.0,1707.0,1285.0
2004-03-11 22:00:00,965.0,965.0,1325.0,1333.0,821.0
2004-03-11 23:00:00,913.0,913.0,1565.0,1252.0,552.0
2004-03-12 00:00:00,1080.0,1080.0,1254.0,1375.0,816.0
2004-03-12 01:00:00,1044.0,1044.0,1247.0,1378.0,832.0
2004-03-12 02:00:00,988.0,988.0,1396.0,1304.0,692.0
2004-03-12 03:00:00,889.0,889.0,1680.0,1187.0,512.0
2004-03-12 04:00:00,831.0,831.0,1893.0,1134.0,384.0
2004-03-12 05:00:00,847.0,847.0,1895.0,1155.0,394.0
2004-03-12 06:00:00,927.0,927.0,1685.0,1223.0,487.0
2004-03-12 07:00:00,1091.0,1091.0,1387.0,1361.0,748.0
2004-03-12 08:00:00,1587.0,1587.0,897.0,1900.0,1400.0
2004-03-12 09:00:00,1545.0,1545.0,767.0,2058.0,1588.0
2004-03-12 10:00:00,1350.0,1350.0,912.0,1712.0,1237.0
2004-03-12 11:00:00,1263.0,1263.0,969.0,1598.0,1167.0
2004-03-12 12:00:00,1206.0,1206.0,1035.0,1537.0,959.0
2004-03-12 13:00:00,1252.0,1252.0,1008.0,1593.0,983.0
2004-03-12 14:00:00,1287.0,1287.0,949.0,1660.0,1061.0
2004-03-12 15:00:00,1353.0,1353.0,922.0,1740.0,1139.0
2004-03-12 16:00:00,1309.0,1309.0,954.0,1657.0,1112.0
2004-03-12 17:00:00,1274.0,1274.0,1006.0,1610.0,994.0
2004-03-12 18:00:00,1510.0,1510.0,812.0,1910.0,1410.0
2004-03-12 19:00:00,1525.0,1525.0,821.0,1847.0,1448.0
2004-03-12 20:00:00,1843.0,1843.0,624.0,2390.0,1887.0
2004-03-12 21:00:00,1598.0,1598.0,752.0,1941.0,1627.0
2004-03-12 22:00:00,1484.0,1484.0,839.0,1723.0,1491.0
2004-03-12 23:00:00,1677.0,1677.0,741.0,2062.0,1657.0
2004-03-13 00:00:00,1280.0,1280.0,963.0,1544.0,1285.0
2004-03-13 01:00:00,1196.0,1196.0,1071.0,1463.0,1144.0
2004-03-13 02:00:00,1184.0,1184.0,1176.0,1365.0,1043.0
2004-03-13 03:00:00,1172.0,1172.0,1179.0,1380.0,996.0
2004-03-13 04:00:00,1147.0,1147.0,1132.0,1412.0,992.0
2004-03-13 05:00:00,978.0,978.0,1420.0,1274.0,819.0
2004-03-13 06:00:00,1100.0,1100.0,1406.0,1268.0,835.0
2004-03-13 07:00:00,1112.0,1112.0,1228.0,1409.0,940.0
2004-03-13 08:00:00,1336.0,1336.0,935.0,1678.0,1192.0
2004-03-13 09:00:00,1408.0,1408.0,830.0,1777.0,1411.0
2004-03-13 10:00:00,1447.0,1447.0,869.0,1667.0,1465.0
2004-03-13 11:00:00,1542.0,1542.0,808.0,1780.0,1583.0
2004-03-13 12:00:00,1451.0,1451.0,875.0,1679.0,1387.0
2004-03-13 13:00:00,1328.0,1328.0,987.0,1600.0,1101.0
2004-03-13 14:00:00,1207.0,1207.0,1088.0,1488.0,850.0
2004-03-13 15:00:00,1240.0,1240.0,1049.0,1532.0,947.0
2004-03-13 16:00:00,1306.0,1306.0,1004.0,1554.0,1078.0
2004-03-13 17:00:00,1326.0,1326.0,976.0,1602.0,1084.0
2004-03-13 18:00:00,1473.0,1473.0,831.0,1779.0,1395.0
2004-03-13 19:00:00,1609.0,1609.0,758.0,1922.0,1612.0
2004-03-13 20:00:00,1611.0,1611.0,754.0,1915.0,1697.0
2004-03-13 21:00:00,1621.0,1621.0,762.0,1860.0,1886.0
2004-03-13 22:00:00,1444.0,1444.0,844.0,1748.0,1624.0
2004-03-13 23:00:00,1418.0,1418.0,892.0,1603.0,1536.0
2004-03-14 00:00:00,1534.0,1534.0,889.0,1611.0,1535.0
