,day,hour,temp
0,1,0.0,8.1
1,1,100.0,8.8
2,1,200.0,8.3
3,1,300.0,9.8
4,1,400.0,9.5
5,1,500.0,8.4
6,1,600.0,8.8
7,1,700.0,8.3
8,1,800.0,7.2
9,1,900.0,4.9
10,1,1000.0,2.6
11,1,1100.0,1.0
12,1,1200.0,-0.5
13,1,1300.0,-1.5
14,1,1400.0,-2.3
15,1,1500.0,-3.1
16,1,1600.0,-3.8
17,1,1700.0,-4.1
18,1,1800.0,-4.8
19,1,1900.0,-4.9
20,1,2000.0,-5.4
21,1,2100.0,-3.0
22,1,2200.0,0.8
23,1,2300.0,6.7
24,2,0.0,9.3
25,2,100.0,10.0
26,2,200.0,11.3
27,2,300.0,11.5
28,2,400.0,12.0
29,2,500.0,11.4
30,2,600.0,11.3
31,2,700.0,10.7
32,2,800.0,9.5
33,2,900.0,8.3
34,2,1000.0,6.8
35,2,1100.0,5.4
36,2,1200.0,1.5
37,2,1300.0,-0.2
38,2,1400.0,-1.4
39,2,1500.0,-2.3
40,2,1600.0,-2.8
41,2,1700.0,-3.4
42,2,1800.0,-4.1
43,2,1900.0,-4.3
44,2,2000.0,-4.8
45,2,2100.0,-2.5
46,2,2200.0,2.0
47,2,2300.0,7.0
48,3,0.0,9.7
49,3,100.0,11.5
50,3,200.0,12.9
51,3,300.0,13.5
52,3,400.0,14.0
53,3,500.0,13.9
54,3,600.0,12.6
55,3,700.0,12.0
56,3,800.0,9.8
57,3,900.0,8.0
58,3,1000.0,5.5
59,3,1100.0,3.8
60,3,1200.0,2.6
61,3,1300.0,0.3
62,3,1400.0,-0.4
63,3,1500.0,-1.6
64,3,1600.0,-2.4
65,3,1700.0,-3.1
66,3,1800.0,-3.2
67,3,1900.0,-3.7
68,3,2000.0,-3.9
69,3,2100.0,-1.5
70,3,2200.0,4.1
71,3,2300.0,7.1
72,4,0.0,10.1
73,4,100.0,13.0
74,4,200.0,15.8
75,4,300.0,16.6
76,4,400.0,17.299999
77,4,500.0,17.0
78,4,600.0,16.4
79,4,700.0,15.6
80,4,800.0,13.9
81,4,900.0,11.4
82,4,1000.0,8.3
83,4,1100.0,6.6
84,4,1200.0,6.2
85,4,1300.0,6.5
86,4,1400.0,6.5
87,4,1500.0,6.6
88,4,1600.0,6.2
89,4,1700.0,5.9
90,4,1800.0,5.8
91,4,1900.0,6.4
92,4,2000.0,6.2
93,4,2100.0,7.6
94,4,2200.0,8.1
95,4,2300.0,8.4
96,5,0.0,9.0
97,5,100.0,13.2
98,5,200.0,15.6
99,5,300.0,17.799999
100,5,400.0,17.6
101,5,500.0,17.299999
102,5,600.0,16.799999
103,5,700.0,15.6
104,5,800.0,13.6
105,5,900.0,11.9
106,5,1000.0,9.3
107,5,1100.0,6.9
108,5,1200.0,5.3
109,5,1300.0,4.7
110,5,1400.0,4.1
111,5,1500.0,2.1
112,5,1600.0,1.0
113,5,1700.0,0.1
114,5,1800.0,-0.4
115,5,1900.0,-0.6
116,5,2000.0,-1.1
117,5,2100.0,0.3
118,5,2200.0,4.3
119,5,2300.0,9.6
120,6,0.0,12.5
121,6,100.0,15.5
122,6,200.0,17.0
123,6,300.0,18.1
124,6,400.0,18.700001
125,6,500.0,17.200001
126,6,600.0,15.9
127,6,700.0,16.200001
128,6,800.0,15.2
129,6,900.0,13.4
130,6,1000.0,11.5
131,6,1100.0,9.1
132,6,1200.0,9.0
133,6,1300.0,10.5
134,6,1400.0,10.3
135,6,1500.0,10.1
136,6,1600.0,9.8
137,6,1700.0,8.1
138,6,1800.0,8.3
139,6,1900.0,8.3
140,6,2000.0,7.8
141,6,2100.0,7.8
142,6,2200.0,10.5
143,6,2300.0,13.2
144,7,0.0,14.9
145,7,100.0,16.6
146,7,200.0,17.799999
147,7,300.0,19.1
148,7,400.0,20.1
149,7,500.0,19.700001
150,7,600.0,19.5
151,7,700.0,18.700001
152,7,800.0,15.6
153,7,900.0,13.9
154,7,1000.0,11.1
155,7,1100.0,11.3
156,7,1200.0,10.5
157,7,1300.0,9.9
158,7,1400.0,7.3
159,7,1500.0,5.6
160,7,1600.0,4.1
161,7,1700.0,3.7
162,7,1800.0,2.4
